filename,sensor,filter_type,order,band_idx,band_label,rms,peak,crest_factor,zcr,band_power,spectral_centroid
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,7,880–1130 Hz,0.000544,0.003678,8.006868,1053.180951,1e-06,1048.25981
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,8,1130–1414 Hz,0.000511,0.003735,7.638614,1225.611357,1e-06,1222.268324
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,9,1414–1760 Hz,0.000867,0.005319,7.163651,1634.136496,2e-06,1632.102689
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,10,1760–2220 Hz,0.000977,0.005758,6.878516,1945.440919,2e-06,1936.242669
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,11,10–1000 Hz,0.001528,0.030799,13.608516,419.931437,1e-06,340.025269
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,12,10–2000 Hz,0.002384,0.041074,11.965378,971.004046,6e-06,815.488168
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,13,500–1500 Hz,0.000872,0.012097,12.312376,986.521298,2e-06,935.757243
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,14,1000–2000 Hz,0.001395,0.011645,8.770381,1652.070946,5e-06,1635.947349
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,0,176–225 Hz,0.000139,0.002871,12.954543,205.319605,0.0,204.091433
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,1,225–283 Hz,0.000174,0.003259,13.345857,250.871358,0.0,249.692593
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,2,283–353 Hz,0.000146,0.002848,12.766401,317.071634,0.0,318.31887
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,3,353–440 Hz,0.000159,0.003054,12.157727,396.278214,0.0,392.302948
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,4,440–565 Hz,0.00018,0.003365,12.840462,506.319297,0.0,500.705389
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,5,565–707 Hz,0.000195,0.003186,12.298973,629.90575,0.0,627.778665
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,6,707–880 Hz,0.000255,0.002992,10.22321,786.368902,0.0,783.343741
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,7,880–1130 Hz,0.000535,0.0034,7.84653,1049.51531,1e-06,1045.590752
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,8,1130–1414 Hz,0.000503,0.00344,7.289619,1226.328547,1e-06,1222.949536
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,9,1414–1760 Hz,0.000855,0.005171,7.056286,1631.322422,2e-06,1629.948491
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,10,1760–2220 Hz,0.000968,0.00567,6.880062,1949.233122,2e-06,1939.465325
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,11,10–1000 Hz,0.001301,0.024839,13.008183,401.551673,1e-06,330.109136
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,12,10–2000 Hz,0.002202,0.035188,11.373356,957.49774,6e-06,810.45616
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,13,500–1500 Hz,0.000854,0.01224,12.485507,968.466535,2e-06,921.499602
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,14,1000–2000 Hz,0.001376,0.011308,8.733056,1642.606844,4e-06,1626.921123
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,0,176–225 Hz,8.1e-05,0.001163,9.335658,199.888333,0.0,199.353846
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,1,225–283 Hz,9.7e-05,0.001278,9.583946,252.174488,0.0,251.350344
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,2,283–353 Hz,7.2e-05,0.00096,9.349566,315.59819,0.0,315.867866
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,3,353–440 Hz,7.8e-05,0.001062,8.934434,394.034454,0.0,392.847631
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,4,440–565 Hz,0.0001,0.001284,9.68488,498.675515,0.0,497.923093
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,5,565–707 Hz,0.000105,0.001261,9.605027,631.676069,0.0,631.098484
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,6,707–880 Hz,0.000137,0.001095,7.661811,787.182967,0.0,786.648663
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,7,880–1130 Hz,0.00027,0.001445,6.350007,1000.319793,0.0,1000.051216
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,8,1130–1414 Hz,0.000231,0.001296,6.49359,1257.309926,0.0,1257.871467
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,9,1414–1760 Hz,0.000579,0.002731,5.920018,1583.542536,1e-06,1582.009075
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,10,1760–2220 Hz,0.000628,0.002883,5.566407,1985.042646,1e-06,1983.976243
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,11,10–1000 Hz,0.000835,0.02164,17.069927,150.920941,1e-06,113.011083
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,12,10–2000 Hz,0.000949,0.025773,17.724648,296.576236,1e-06,186.682417
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,13,500–1500 Hz,0.000435,0.00498,10.640186,866.875487,0.0,861.724538
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,14,1000–2000 Hz,0.000513,0.003945,8.169148,1477.14678,1e-06,1477.066061
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,0,176–225 Hz,0.000112,0.002026,11.062642,201.419589,0.0,200.722955
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,1,225–283 Hz,0.000138,0.002254,11.511554,251.682299,0.0,251.12783
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,2,283–353 Hz,0.000103,0.001746,11.159804,315.959129,0.0,316.850914
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,3,353–440 Hz,0.000122,0.001988,10.693807,394.289143,0.0,392.014002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,4,440–565 Hz,0.000143,0.002211,11.355015,500.634898,0.0,498.167004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,5,565–707 Hz,0.000148,0.001941,10.516552,629.908875,0.0,628.6111
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,6,707–880 Hz,0.000197,0.001804,8.496456,788.181409,0.0,786.150365
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,7,880–1130 Hz,0.000393,0.002439,7.271173,1009.627644,0.0,1009.493698
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,8,1130–1414 Hz,0.000355,0.002584,7.520379,1243.912995,0.0,1243.254373
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,9,1414–1760 Hz,0.000725,0.003885,6.423546,1592.50976,1e-06,1590.190366
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,10,1760–2220 Hz,0.000797,0.00398,5.928279,1987.209843,2e-06,1983.514515
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,11,10–1000 Hz,0.001185,0.028518,15.863934,242.365072,1e-06,166.105709
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,12,10–2000 Hz,0.001683,0.041519,15.470903,511.628694,2e-06,398.42637
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,13,500–1500 Hz,0.000744,0.008609,11.595875,936.305464,1e-06,906.979137
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,14,1000–2000 Hz,0.000963,0.007723,8.275138,1514.675061,2e-06,1508.490988
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,7,0,176–225 Hz,0.00012,0.002249,11.765656,203.039908,0.0,201.70884
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,7,1,225–283 Hz,0.000158,0.002651,12.08858,251.435423,0.0,250.564772
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,7,2,283–353 Hz,0.000122,0.002167,11.781227,316.23413,0.0,318.088958
