filename,sensor,file_idx,filter_type,order,band_idx,band_label,low_hz,high_hz,window_idx,window_start_s,filter_time_ms,rms,peak,crest_factor,zcr,band_power,spectral_centroid,rms_time_us,cf_time_us
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,52,72.600000,6.921000,0.000178,0.003111,17.430723,251.001046,0.000000,254.237541,785.900003,1400.199995
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,53,73.600000,6.989400,0.000251,0.007778,30.933143,246.901029,0.000000,251.996735,1257.600001,1654.299995
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,54,74.600000,6.809400,0.000238,0.007823,32.838910,244.601019,0.000000,249.669017,818.799992,1398.399996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,55,75.600000,6.624500,0.000405,0.014883,36.736188,243.001013,0.000000,248.649989,884.900001,1469.399998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,56,76.600000,6.640300,0.000061,0.000226,3.698987,242.501010,0.000000,242.046417,608.100003,1371.100007
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,57,77.600000,6.783700,0.000062,0.000226,3.631424,242.901012,0.000000,242.233631,709.300002,1335.800000
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,58,78.600000,6.781200,0.000061,0.000226,3.687890,243.701015,0.000000,242.591078,956.399992,2168.000006
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,59,79.600000,6.925900,0.000063,0.000226,3.576898,244.401018,0.000000,243.612815,918.600010,1733.099998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,60,80.600000,6.631200,0.000062,0.000226,3.615118,243.601015,0.000000,243.681359,594.400000,1563.900005
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,61,81.600000,6.664300,0.000063,0.000201,3.170013,242.701011,0.000000,243.159900,661.400001,1203.599997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,62,82.600000,6.157700,0.000066,0.000234,3.554993,242.201009,0.000000,242.671800,601.099993,1056.499998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,63,83.600000,6.762500,0.000068,0.000234,3.449918,242.601011,0.000000,242.850783,731.499997,1096.700013
